TransactionID,TransactionDate,YearMonth,Year,MonthNum,MonthName,CustomerID,CustomerName,AgeGroup,Gender,City,CardType,CardLimit,TransactionCategory,Merchant,PaymentMode,TransactionAmount,Fees,RewardPoints,PaymentStatus,TotalDue,UtilizationPct,IsFraudFlag
TXN00437,2024-01-02,2024-01,2024,1,January,CUST5420,Customer CUST5420,26-35,Male,Delhi,MoneyBack,300000,Bills & Utilities,HP Fuel,NetBanking,11108,199.94,11108,Paid,11307.94,10.01,0
TXN00028,2024-01-02,2024-01,2024,1,January,CUST3041,Customer CUST3041,36-45,Female,Ahmedabad,Diners Black,800000,Travel,DMart,UPI AutoPay,2492,44.86,4984,Due,2536.86,0.7,0
TXN00269,2024-01-03,2024-01,2024,1,January,CUST2741,Customer CUST2741,18-25,Male,Pune,Diners Black,800000,Entertainment,BookMyShow,Credit Card,20963,209.63,83852,Overdue,21172.63,6.54,0
TXN00388,2024-01-05,2024-01,2024,1,January,CUST2689,Customer CUST2689,36-45,Male,Chennai,Millennia,500000,Bills & Utilities,IRCTC,NetBanking,19673,0.0,39346,Paid,19673.0,17.93,0
TXN00412,2024-01-09,2024-01,2024,1,January,CUST5641,Customer CUST5641,36-45,Male,Delhi,Millennia,500000,Travel,Swiggy,Credit Card,3401,61.22,3401,Overdue,3462.22,1.64,0
TXN00069,2024-01-09,2024-01,2024,1,January,CUST4588,Customer CUST4588,26-35,Female,Mumbai,Infinia,800000,Bills & Utilities,Amazon,NetBanking,16476,164.76,16476,Paid,16640.76,8.67,0
TXN00310,2024-01-11,2024-01,2024,1,January,CUST4795,Customer CUST4795,26-35,Male,Ahmedabad,Infinia,800000,Shopping,HP Fuel,Credit Card,6581,0.0,26324,Overdue,6581.0,2.52,0
TXN00319,2024-01-13,2024-01,2024,1,January,CUST4066,Customer CUST4066,36-45,Male,Ahmedabad,MoneyBack,800000,Fuel,IRCTC,UPI AutoPay,3501,35.01,7002,Overdue,3536.01,1.95,0
TXN00336,2024-01-13,2024-01,2024,1,January,CUST2539,Customer CUST2539,26-35,Female,Delhi,Regalia,100000,Travel,DMart,NetBanking,14714,0.0,58856,Due,14714.0,26.44,0
TXN00450,2024-01-13,2024-01,2024,1,January,CUST8278,Customer CUST8278,46-60,Female,Chennai,Diners Black,100000,Shopping,IRCTC,Credit Card,10295,102.95,41180,Overdue,10397.95,19.18,0
TXN00345,2024-01-14,2024-01,2024,1,January,CUST7814,Customer CUST7814,36-45,Male,Ahmedabad,MoneyBack,100000,Entertainment,IRCTC,NetBanking,2820,28.2,11280,Paid,2848.2,6.89,0
TXN00358,2024-01-15,2024-01,2024,1,January,CUST9814,Customer CUST9814,26-35,Male,Pune,Millennia,300000,Shopping,Croma,NetBanking,14947,149.47,14947,Due,15096.47,9.15,0
TXN00049,2024-01-15,2024-01,2024,1,January,CUST9042,Customer CUST9042,18-25,Male,Bengaluru,Diners Black,200000,Groceries,IRCTC,UPI AutoPay,1986,35.75,3972,Due,2021.75,3.53,0
TXN00494,2024-01-15,2024-01,2024,1,January,CUST4121,Customer CUST4121,36-45,Female,Kolkata,MoneyBack,200000,Entertainment,BookMyShow,UPI AutoPay,22272,222.72,22272,Paid,22494.72,42.92,0
TXN00338,2024-01-16,2024-01,2024,1,January,CUST8786,Customer CUST8786,26-35,Female,Bengaluru,Diners Black,100000,Fuel,Zomato,Credit Card,4120,41.2,4120,Paid,4161.2,20.09,0
TXN00156,2024-01-16,2024-01,2024,1,January,CUST4350,Customer CUST4350,46-60,Male,Ahmedabad,Regalia,200000,Bills & Utilities,Croma,UPI AutoPay,4044,72.79,8088,Due,4116.79,7.65,0
TXN00436,2024-01-17,2024-01,2024,1,January,CUST8452,Customer CUST8452,46-60,Male,Hyderabad,Diners Black,800000,Dining,DMart,Credit Card,23245,232.45,92980,Due,23477.45,3.19,0
TXN00362,2024-01-19,2024-01,2024,1,January,CUST2015,Customer CUST2015,36-45,Female,Pune,Diners Black,800000,Shopping,Swiggy,NetBanking,20687,206.87,20687,Due,20893.87,5.44,1
TXN00040,2024-01-21,2024-01,2024,1,January,CUST8619,Customer CUST8619,36-45,Female,Bengaluru,Regalia,800000,Dining,Amazon,NetBanking,15717,282.91,15717,Overdue,15999.91,9.41,0
TXN00147,2024-01-23,2024-01,2024,1,January,CUST7941,Customer CUST7941,36-45,Male,Kolkata,Diners Black,800000,Entertainment,Croma,Credit Card,298,5.36,298,Paid,303.36,0.05,0
TXN00350,2024-01-23,2024-01,2024,1,January,CUST8542,Customer CUST8542,36-45,Male,Chennai,Infinia,200000,Fuel,Amazon,UPI AutoPay,18429,331.72,73716,Due,18760.72,12.69,1
TXN00026,2024-01-25,2024-01,2024,1,January,CUST7548,Customer CUST7548,36-45,Male,Ahmedabad,MoneyBack,300000,Shopping,Zomato,UPI AutoPay,9329,0.0,18658,Paid,9329.0,11.09,0
TXN00454,2024-01-30,2024-01,2024,1,January,CUST8144,Customer CUST8144,36-45,Female,Delhi,Diners Black,300000,Travel,Zomato,UPI AutoPay,2386,42.95,9544,Overdue,2428.95,2.64,0
TXN00483,2024-01-30,2024-01,2024,1,January,CUST8960,Customer CUST8960,18-25,Male,Chennai,Diners Black,100000,Bills & Utilities,Zomato,UPI AutoPay,18245,0.0,72980,Overdue,18245.0,88.58,0
TXN00148,2024-02-02,2024-02,2024,2,February,CUST7266,Customer CUST7266,46-60,Female,Chennai,MoneyBack,500000,Dining,DMart,Credit Card,4637,83.47,18548,Overdue,4720.47,2.32,1
TXN00420,2024-02-06,2024-02,2024,2,February,CUST9856,Customer CUST9856,36-45,Female,Ahmedabad,Millennia,500000,Bills & Utilities,Croma,UPI AutoPay,19629,0.0,39258,Paid,19629.0,4.91,0
TXN00284,2024-02-08,2024-02,2024,2,February,CUST4729,Customer CUST4729,36-45,Female,Delhi,Millennia,100000,Groceries,DMart,UPI AutoPay,6032,60.32,24128,Overdue,6092.32,19.9,0
TXN00140,2024-02-08,2024-02,2024,2,February,CUST9901,Customer CUST9901,46-60,Male,Mumbai,Diners Black,300000,Fuel,Croma,UPI AutoPay,19951,0.0,39902,Due,19951.0,18.74,1
TXN00027,2024-02-09,2024-02,2024,2,February,CUST9379,Customer CUST9379,18-25,Female,Delhi,Infinia,500000,Travel,Flipkart,UPI AutoPay,11527,207.49,23054,Paid,11734.49,7.9,0
TXN00296,2024-02-10,2024-02,2024,2,February,CUST3848,Customer CUST3848,46-60,Female,Pune,Millennia,300000,Bills & Utilities,HP Fuel,NetBanking,17284,311.11,34568,Overdue,17595.11,19.1,0
TXN00370,2024-02-10,2024-02,2024,2,February,CUST5989,Customer CUST5989,36-45,Female,Kolkata,Infinia,300000,Entertainment,Amazon,UPI AutoPay,20865,0.0,20865,Due,20865.0,19.18,0
TXN00279,2024-02-10,2024-02,2024,2,February,CUST6866,Customer CUST6866,18-25,Female,Bengaluru,Diners Black,300000,Fuel,Croma,Credit Card,1866,33.59,7464,Paid,1899.59,1.84,0
TXN00429,2024-02-14,2024-02,2024,2,February,CUST2160,Customer CUST2160,26-35,Female,Delhi,Millennia,500000,Fuel,HP Fuel,UPI AutoPay,5963,0.0,5963,Paid,5963.0,3.65,0
TXN00424,2024-02-16,2024-02,2024,2,February,CUST7060,Customer CUST7060,26-35,Female,Bengaluru,Diners Black,500000,Groceries,Flipkart,NetBanking,4156,41.56,4156,Paid,4197.56,1.39,1
TXN00376,2024-02-20,2024-02,2024,2,February,CUST5889,Customer CUST5889,36-45,Male,Bengaluru,Regalia,200000,Groceries,Swiggy,Credit Card,21606,216.06,21606,Due,21822.06,47.7,1
TXN00127,2024-02-21,2024-02,2024,2,February,CUST2761,Customer CUST2761,46-60,Male,Chennai,MoneyBack,300000,Fuel,IRCTC,NetBanking,21638,389.48,43276,Due,22027.48,22.7,0
TXN00033,2024-02-21,2024-02,2024,2,February,CUST6198,Customer CUST6198,46-60,Female,Ahmedabad,Millennia,800000,Travel,Croma,UPI AutoPay,4569,45.69,18276,Paid,4614.69,2.83,0
TXN00438,2024-02-22,2024-02,2024,2,February,CUST2097,Customer CUST2097,26-35,Male,Delhi,MoneyBack,300000,Shopping,HP Fuel,Credit Card,15448,278.06,15448,Overdue,15726.06,12.7,0
TXN00022,2024-02-22,2024-02,2024,2,February,CUST5291,Customer CUST5291,26-35,Female,Delhi,MoneyBack,300000,Entertainment,Croma,NetBanking,9266,0.0,9266,Due,9266.0,12.62,0
TXN00132,2024-02-22,2024-02,2024,2,February,CUST4968,Customer CUST4968,18-25,Male,Hyderabad,Regalia,500000,Fuel,Flipkart,Credit Card,20811,374.6,83244,Due,21185.6,6.62,0
TXN00195,2024-02-23,2024-02,2024,2,February,CUST1017,Customer CUST1017,26-35,Female,Kolkata,Diners Black,100000,Bills & Utilities,Zomato,Credit Card,23119,0.0,46238,Overdue,23119.0,88.19,1
TXN00103,2024-02-23,2024-02,2024,2,February,CUST3626,Customer CUST3626,36-45,Female,Hyderabad,Diners Black,100000,Fuel,Croma,Credit Card,3561,64.1,14244,Due,3625.1,7.62,0
TXN00087,2024-02-23,2024-02,2024,2,February,CUST7947,Customer CUST7947,46-60,Female,Bengaluru,Regalia,100000,Entertainment,DMart,UPI AutoPay,20445,0.0,81780,Paid,20445.0,42.7,0
